PostID,Post_Text,Sentiment,Keyword,Reason,Platform,Year
158,amazing automation is be be think not could to with from well,Positive,amazing,automation,Facebook,2019
159,great automation that the from believe could think be from well the,Positive,great,automation,Twitter,2021
160,beneficial automation beliefs it be with I this to is a not,Positive,beneficial,automation,Instagram,2020
161,beneficial automation might well that from most is this I to the,Positive,beneficial,automation,Twitter,2019
162,innovative helpful I with most on the by beliefs most use might,Positive,innovative,helpful,Facebook,2023
163,beneficial automation that to believe a to by beliefs a on is,Positive,beneficial,automation,Facebook,2017
164,concerning environment it the be believe that be that it use a,Negative,concerning,environment,Instagram,2017
165,hopeful useful on the not this a could think could the it,Positive,hopeful,useful,Facebook,2016
166,good useful I very I the might from most from this not,Positive,good,useful,Twitter,2022
167,unethical inhuman on this believe most most believe that on I beliefs,Negative,unethical,inhuman,Twitter,2020
168,concerning bias use that is most on a on use this beliefs,Negative,concerning,bias,Facebook,2024
169,innovative helpful on could a think might think is is a the,Positive,innovative,helpful,Facebook,2022
170,innovative automation be on could might could believe by well that I,Positive,innovative,automation,Twitter,2020
171,amazing productive that I with it I a could this use most,Positive,amazing,productive,Instagram,2021
172,concerning bias most might be by this by beliefs might this that,Negative,concerning,bias,Instagram,2017
173,good learning by from most by could might on well use is,Positive,good,learning,Instagram,2020
174,amazing automation with use by use not is a think to to,Positive,amazing,automation,Twitter,2022
175,terrifying inhuman well the not with could not use with very this,Negative,terrifying,inhuman,Instagram,2021
176,great useful could with use on on think use most not a,Positive,great,useful,Twitter,2016
177,productive productive not beliefs I use very that with that be is,Positive,productive,productive,Instagram,2024
178,productive productive believe by might on I is by it might by,Positive,productive,productive,Twitter,2016
179,beneficial productive by believe very beliefs think on believe the with might,Positive,beneficial,productive,Twitter,2018
180,bad environment could the from use well that think a the not,Negative,bad,environment,Instagram,2020
181,great automation by believe by the from could that by with a,Positive,great,automation,Twitter,2022
182,amazing productive by believe with most not it I not think on,Positive,amazing,productive,Twitter,2023
183,amazing automation that on I it a that from that a it,Positive,amazing,automation,Twitter,2021
184,good useful on use from very with I this on a by,Positive,good,useful,Instagram,2020
185,productive automation I not could use I believe believe the be could,Positive,productive,automation,Facebook,2022
186,scary environment that from think believe is is from most the is,Negative,scary,environment,Instagram,2017
187,horrible inhuman use most to be most use not by very is,Negative,horrible,inhuman,Facebook,2024
188,productive learning be believe most be very a use think very is,Positive,productive,learning,Facebook,2023
189,concerning inhuman this to this think use be on beliefs I with,Negative,concerning,inhuman,Instagram,2021
190,hopeful automation from use that with by believe from think a with,Positive,hopeful,automation,Facebook,2022
191,beneficial helpful not on from a very a on is the with,Positive,beneficial,helpful,Facebook,2021
192,productive productive well a a on to think it most the most,Positive,productive,productive,Twitter,2016
193,good learning with use beliefs from to from be think I a,Positive,good,learning,Instagram,2019
194,bad bias that with very a think is it a with from,Negative,bad,bias,Facebook,2016
195,scary inhuman on the the beliefs that well think by this think,Negative,scary,inhuman,Facebook,2016
196,productive learning on most could use the use think most I believe,Positive,productive,learning,Twitter,2020
197,beneficial useful beliefs on the very use think might might is by,Positive,beneficial,useful,Twitter,2024
198,great learning the not the by be most a that very very,Positive,great,learning,Twitter,2020
199,great useful be I this I to think it this this this,Positive,great,useful,Twitter,2019
200,hopeful automation with I from very believe well on from I be,Positive,hopeful,automation,Twitter,2024
201,hopeful productive by might very by most from that that think I,Positive,hopeful,productive,Twitter,2022
202,innovative useful believe that be believe from not might to beliefs most,Positive,innovative,useful,Twitter,2016
203,bad inhuman from very be to is on this it very use,Negative,bad,inhuman,Instagram,2023
204,good automation to most by on with a it to use use,Positive,good,automation,Instagram,2016
205,concerning jobs most most that believe to it well on not be,Negative,concerning,jobs,Facebook,2018
206,amazing automation might use not a on think well most could with,Positive,amazing,automation,Twitter,2021
207,great useful the I I use be be very be beliefs the,Positive,great,useful,Facebook,2016
208,hopeful useful this this be might most on with by from on,Positive,hopeful,useful,Facebook,2020
209,terrifying creativity with might a use it a beliefs use with well,Negative,terrifying,creativity,Twitter,2023
210,scary inhuman this with believe I most the that by I could,Negative,scary,inhuman,Facebook,2021
211,horrible environment be this by I very this to a is believe,Negative,horrible,environment,Instagram,2018
212,innovative useful believe beliefs on to use to not not beliefs that,Positive,innovative,useful,Instagram,2020
213,innovative useful believe by think beliefs believe the from with beliefs well,Positive,innovative,useful,Twitter,2019
214,good useful might to might it use could I the this beliefs,Positive,good,useful,Twitter,2021
215,hopeful helpful be the on think a believe on believe this could,Positive,hopeful,helpful,Instagram,2018
216,concerning environment by I think from the might from believe might think,Negative,concerning,environment,Instagram,2019
217,hopeful useful not most most use be that the might that with,Positive,hopeful,useful,Facebook,2023
218,amazing productive it not most this could not believe with it a,Positive,amazing,productive,Twitter,2019
219,beneficial productive most well with with the use I with a it,Positive,beneficial,productive,Facebook,2024
220,great productive might not not the could think might most be it,Positive,great,productive,Twitter,2022
221,disastrous environment by could that it might very be beliefs I very,Negative,disastrous,environment,Instagram,2023
222,good productive the not could on beliefs the beliefs by that it,Positive,good,productive,Facebook,2019
223,hopeful automation think beliefs from from on it be with it the,Positive,hopeful,automation,Twitter,2022
224,innovative learning the a the be a with this might be with,Positive,innovative,learning,Twitter,2017
225,innovative helpful from is be from not beliefs the it it well,Positive,innovative,helpful,Facebook,2022
226,great productive on very by believe on with from is most this,Positive,great,productive,Facebook,2023
227,unethical jobs this most the by might most believe the beliefs not,Negative,unethical,jobs,Instagram,2020
228,scary creativity could well most well by use use by beliefs be,Negative,scary,creativity,Instagram,2020
229,amazing useful is from on to beliefs by beliefs very could this,Positive,amazing,useful,Facebook,2016
230,innovative useful this with this be with might think it that to,Positive,innovative,useful,Instagram,2020
231,disastrous bias a use be it think believe well beliefs use beliefs,Negative,disastrous,bias,Twitter,2022
232,great useful most it not that not believe by beliefs it believe,Positive,great,useful,Twitter,2016
233,hopeful helpful could could it with well I is a think could,Positive,hopeful,helpful,Twitter,2017
234,disastrous jobs could I might well with I might on from a,Negative,disastrous,jobs,Instagram,2024
235,unethical bias to believe might it most well think that this I,Negative,unethical,bias,Instagram,2023
236,amazing useful to use think beliefs most that the believe believe I,Positive,amazing,useful,Facebook,2016
237,bad creativity most not beliefs the the to this not a it,Negative,bad,creativity,Twitter,2017
238,concerning creativity believe be not that on this believe I not by,Negative,concerning,creativity,Twitter,2017
239,beneficial productive it not is could this believe is use beliefs believe,Positive,beneficial,productive,Twitter,2018
240,innovative useful is this this not use from it most is is,Positive,innovative,useful,Facebook,2018
241,concerning bias believe by on think on not most on a is,Negative,concerning,bias,Facebook,2024
242,unethical environment the might this think use with the the it this,Negative,unethical,environment,Facebook,2023
243,horrible jobs a it could be it on could not it beliefs,Negative,horrible,jobs,Instagram,2016
244,horrible environment most with that could well a well beliefs to this,Negative,horrible,environment,Facebook,2018
245,hopeful useful with I the believe I by is by is think,Positive,hopeful,useful,Twitter,2023
246,disastrous creativity beliefs I the very is beliefs from not a a,Negative,disastrous,creativity,Twitter,2019
247,amazing useful be use I by might on by think this from,Positive,amazing,useful,Instagram,2022
248,amazing helpful it by from to is this think a might think,Positive,amazing,helpful,Instagram,2018
249,hopeful productive beliefs believe it beliefs from I most not from with,Positive,hopeful,productive,Facebook,2021
250,horrible environment it beliefs not a that beliefs most not think not,Negative,horrible,environment,Instagram,2022
251,beneficial helpful think believe be believe a be it on it the,Positive,beneficial,helpful,Facebook,2020
252,bad inhuman a to I beliefs to very not from think it,Negative,bad,inhuman,Facebook,2022
253,concerning inhuman be might this not on this by use might it,Negative,concerning,inhuman,Instagram,2021
254,beneficial productive might from well this most I on well by think,Positive,beneficial,productive,Twitter,2016
255,productive automation with think well with with could I think this this,Positive,productive,automation,Facebook,2021
256,productive useful not by beliefs might be use might well most this,Positive,productive,useful,Instagram,2021
257,beneficial useful beliefs not from is it not by on that a,Positive,beneficial,useful,Instagram,2024
258,innovative useful believe on to think well might might be by a,Positive,innovative,useful,Twitter,2016
259,beneficial useful think from be could this not very might could that,Positive,beneficial,useful,Facebook,2024
260,innovative automation most think is very I the most a a believe,Positive,innovative,automation,Instagram,2017
261,innovative helpful beliefs to I I well it from think to be,Positive,innovative,helpful,Instagram,2020
262,concerning inhuman from beliefs well I the think on this by that,Negative,concerning,inhuman,Twitter,2021
263,concerning inhuman not this might by this a think be well well,Negative,concerning,inhuman,Instagram,2024
264,amazing learning very with this most it might use well think to,Positive,amazing,learning,Instagram,2020
265,great productive on I use beliefs I on most believe be from,Positive,great,productive,Twitter,2021
266,innovative automation to might to not most use use think use it,Positive,innovative,automation,Instagram,2023
267,productive learning the on well a be is beliefs well is not,Positive,productive,learning,Facebook,2020
268,productive productive be on most it from well could on be by,Positive,productive,productive,Twitter,2022
269,great learning that with be on that think I could on could,Positive,great,learning,Twitter,2021
270,hopeful productive this beliefs a might with with well think not to,Positive,hopeful,productive,Twitter,2017
271,concerning bias the with not beliefs beliefs the is use is this,Negative,concerning,bias,Instagram,2020
272,productive helpful from might not this I it on well the it,Positive,productive,helpful,Facebook,2017
273,great helpful think think beliefs be believe with believe from beliefs on,Positive,great,helpful,Instagram,2020
274,amazing learning from by with I very I that very very to,Positive,amazing,learning,Twitter,2018
275,innovative productive be the well most is a from could well use,Positive,innovative,productive,Facebook,2024
276,horrible jobs a by from is very believe very it from on,Negative,horrible,jobs,Instagram,2016
277,productive learning on beliefs use beliefs be it that believe this this,Positive,productive,learning,Facebook,2018
278,great productive very this think it most from use think be think,Positive,great,productive,Twitter,2016
279,bad creativity I by use use might think with use might this,Negative,bad,creativity,Twitter,2022
280,amazing helpful not could be could think beliefs on on the could,Positive,amazing,helpful,Twitter,2020
281,great useful beliefs this from use a very be I a this,Positive,great,useful,Facebook,2019
282,beneficial useful might could beliefs with on be I be the very,Positive,beneficial,useful,Twitter,2024
283,terrifying environment use very well with it to think use to use,Negative,terrifying,environment,Facebook,2021
284,productive automation could might with on think not be with by a,Positive,productive,automation,Twitter,2021
285,innovative productive be could think on use from on the beliefs a,Positive,innovative,productive,Twitter,2017
286,beneficial automation I by might most believe believe use not might well,Positive,beneficial,automation,Twitter,2021
287,beneficial productive believe a is well on with very from on is,Positive,beneficial,productive,Facebook,2022
288,unethical creativity well not this very most use beliefs well by well,Negative,unethical,creativity,Twitter,2020
289,disastrous creativity the use very that not on might to by could,Negative,disastrous,creativity,Instagram,2016
290,amazing learning beliefs the very very from not this well that not,Positive,amazing,learning,Instagram,2024
291,great productive believe could to by beliefs very very by a believe,Positive,great,productive,Facebook,2019
292,great helpful this it very is with use the beliefs use very,Positive,great,helpful,Twitter,2018
293,concerning creativity to the that this from that with well that think,Negative,concerning,creativity,Twitter,2017
294,beneficial useful beliefs is well is is use the might a beliefs,Positive,beneficial,useful,Twitter,2018
295,amazing helpful by to could very think very by believe on might,Positive,amazing,helpful,Twitter,2018
296,good automation with to the with the a to this could this,Positive,good,automation,Twitter,2016
297,disastrous creativity that a by beliefs this is on with most with,Negative,disastrous,creativity,Facebook,2016
298,scary creativity that not is I a be most from is be,Negative,scary,creativity,Instagram,2017
299,beneficial productive most by not that not to beliefs with use I,Positive,beneficial,productive,Twitter,2024
300,amazing productive be on on not well most on most most I,Positive,amazing,productive,Facebook,2020
301,unethical bias use I be that be with might to use not,Negative,unethical,bias,Instagram,2022
302,horrible environment is the most use on I that well beliefs well,Negative,horrible,environment,Instagram,2020
303,unethical creativity from from this not beliefs I think not might most,Negative,unethical,creativity,Twitter,2021
304,hopeful useful very the that beliefs it by is the by is,Positive,hopeful,useful,Facebook,2023
305,great useful most from from believe most think by to think this,Positive,great,useful,Instagram,2021
306,great automation the beliefs a with a very this is with believe,Positive,great,automation,Twitter,2017
307,hopeful useful be it believe not beliefs not by the this use,Positive,hopeful,useful,Facebook,2022
308,amazing helpful think this could the with might this on by well,Positive,amazing,helpful,Facebook,2023
309,innovative productive a might I not beliefs most think very not beliefs,Positive,innovative,productive,Twitter,2022
310,unethical bias might with to with on might believe use to think,Negative,unethical,bias,Twitter,2017
311,innovative automation most is not with I on it that think from,Positive,innovative,automation,Facebook,2016
312,unethical bias with by I to not think is on from to,Negative,unethical,bias,Instagram,2019
313,innovative helpful believe not by this is I believe I could from,Positive,innovative,helpful,Facebook,2023
314,great automation be the on think from believe on might I is,Positive,great,automation,Facebook,2019
315,great productive believe by think with by well from might think the,Positive,great,productive,Twitter,2023
316,good learning not I is is with believe from very the with,Positive,good,learning,Twitter,2022
317,amazing useful I beliefs by believe could from I it by very,Positive,amazing,useful,Instagram,2022
318,hopeful learning might from might could I by is on it well,Positive,hopeful,learning,Twitter,2020
319,amazing learning a use use think the think on to it could,Positive,amazing,learning,Facebook,2017
320,terrifying bias very on believe to might to on most on that,Negative,terrifying,bias,Facebook,2023
321,beneficial learning it is well beliefs with is beliefs is this this,Positive,beneficial,learning,Instagram,2021
322,innovative automation by that is believe think that well by beliefs could,Positive,innovative,automation,Facebook,2024
323,amazing automation could might a beliefs might is by to not that,Positive,amazing,automation,Twitter,2024
324,terrifying jobs to on be not believe on very that not think,Negative,terrifying,jobs,Instagram,2019
325,scary creativity that be this to by I not that believe this,Negative,scary,creativity,Instagram,2020
326,disastrous environment use I very well use it might the the believe,Negative,disastrous,environment,Twitter,2016
327,terrifying creativity is from it think a be to not very very,Negative,terrifying,creativity,Facebook,2022
328,disastrous jobs be this I a the by think to beliefs on,Negative,disastrous,jobs,Instagram,2016
329,disastrous jobs most beliefs use most with is very well very be,Negative,disastrous,jobs,Twitter,2016
330,scary jobs this I the most this could a beliefs very be,Negative,scary,jobs,Instagram,2022
331,horrible creativity to a not on with might this very on from,Negative,horrible,creativity,Instagram,2024
332,amazing learning beliefs use on beliefs that to to that believe not,Positive,amazing,learning,Twitter,2018
333,beneficial productive by use a I by the beliefs that a think,Positive,beneficial,productive,Twitter,2020
334,good helpful beliefs could from with the the be this could the,Positive,good,helpful,Twitter,2016
335,disastrous bias most by this this very with well a this well,Negative,disastrous,bias,Instagram,2018
336,hopeful useful believe to beliefs on use with that with beliefs to,Positive,hopeful,useful,Twitter,2019
337,productive productive beliefs by could from is from could on that by,Positive,productive,productive,Twitter,2018
338,terrifying inhuman I think very could is beliefs this is by with,Negative,terrifying,inhuman,Twitter,2019
339,productive learning might is with I be the a might is with,Positive,productive,learning,Instagram,2019
340,hopeful productive this use might that beliefs to with very believe think,Positive,hopeful,productive,Facebook,2016
341,disastrous environment beliefs be with think with by from to with believe,Negative,disastrous,environment,Twitter,2020
342,horrible bias I is on not on from this this very it,Negative,horrible,bias,Facebook,2020
343,terrifying jobs on well that well think most not use use not,Negative,terrifying,jobs,Instagram,2023
344,beneficial useful the beliefs with the well believe I I is a,Positive,beneficial,useful,Facebook,2016
345,beneficial useful very the on with with is very most from that,Positive,beneficial,useful,Twitter,2019
346,scary creativity very it well I think with beliefs be most on,Negative,scary,creativity,Twitter,2024
347,innovative useful with most most most not by with use well very,Positive,innovative,useful,Twitter,2023
348,hopeful automation a most is this think from by well that on,Positive,hopeful,automation,Instagram,2024
349,hopeful learning this well that by from with it this could from,Positive,hopeful,learning,Facebook,2017
350,productive automation to use be use is could could use it with,Positive,productive,automation,Facebook,2016
351,bad environment be from it very on believe with that very it,Negative,bad,environment,Facebook,2016
352,good automation to think not by use a a with that is,Positive,good,automation,Twitter,2021
353,hopeful helpful very beliefs think most to I think not not by,Positive,hopeful,helpful,Instagram,2021
354,horrible creativity a not it with believe with from could the this,Negative,horrible,creativity,Instagram,2019
